Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
0.03225806451612903,3,0.06451612903225806,1.0,4,4,3,1,0.4285714285714285,0.3333333333333333,0.5,0.5555555555555556,0.3560157790927022,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
0.1935483870967742,1,0.1290322580645161,0.6666666666666667,4,3,6,1,0.2857142857142857,0.6666666666666666,0.5,0.8888888888888888,0.4922621756941282,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0.9032258064516129,1,0.29032258064516125,1.0,4,1,6,0,0.3571428571428571,0.6666666666666666,0.5,0.8888888888888888,0.6330602336519494,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0.16129032258064516,1,0.03225806451612903,0.6666666666666667,3,5,5,0,0.2142857142857143,0.3333333333333333,0.0,0.2222222222222222,0.23350022758306788,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0.22580645161290322,3,0.0967741935483871,0.3333333333333333,3,5,1,1,0.0714285714285714,0.3333333333333333,0.0,0.2222222222222222,0.2677135487786374,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0.29032258064516125,2,0.29032258064516125,0.6666666666666667,1,4,10,0,0.4999999999999999,0.0,0.0,0.2222222222222222,0.08344712486724326,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.8709677419354839,1,0.8387096774193549,0.6666666666666667,2,1,5,0,0.3571428571428571,0.3333333333333333,0.5,0.3333333333333333,0.6445152480655439,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0.06451612903225806,1,0.4516129032258065,0.3333333333333333,4,4,5,1,0.1428571428571428,0.3333333333333333,0.0,0.3333333333333333,0.2287968441814595,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False
0.0967741935483871,1,0.8064516129032259,0.6666666666666667,3,3,2,0,0.7857142857142857,0.3333333333333333,0.0,0.0,0.12774996206948874,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
0.22580645161290322,3,0.06451612903225806,0.6666666666666667,2,5,3,0,0.8571428571428571,0.3333333333333333,0.5,1.0,0.41935973296920037,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0.03225806451612903,1,0.1290322580645161,0.6666666666666667,4,3,8,1,0.6428571428571427,0.3333333333333333,0.5,0.3333333333333333,0.4148080716128054,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False
0.03225806451612903,1,0.9032258064516129,0.6666666666666667,4,1,3,0,0.1428571428571428,0.3333333333333333,0.5,0.3333333333333333,0.33340919435593974,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
0.0967741935483871,1,0.5483870967741936,1.0,6,1,2,1,0.5714285714285713,0.6666666666666666,0.5,0.4444444444444444,0.2775754817174937,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
0.29032258064516125,1,0.5806451612903226,0.6666666666666667,4,4,2,0,0.7142857142857143,0.3333333333333333,0.0,0.0,0.08481262327416184,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False
0.03225806451612903,3,0.03225806451612903,0.3333333333333333,4,1,2,1,0.0714285714285714,0.0,0.0,0.7777777777777777,0.441890456683356,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
0.0,1,0.0967741935483871,0.3333333333333333,3,1,2,1,0.1428571428571428,0.3333333333333333,0.0,0.3333333333333333,0.20869367319071463,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
0.12903225806451613,1,0.22580645161290322,0.6666666666666667,4,3,2,1,0.2142857142857143,0.3333333333333333,0.0,0.2222222222222222,0.12850857229555457,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
0.1935483870967742,3,0.0967741935483871,0.6666666666666667,3,4,9,0,0.2857142857142857,0.3333333333333333,0.0,0.7777777777777777,0.3139129115460476,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0.25806451612903225,1,0.5483870967741936,0.6666666666666667,4,4,2,0,0.5714285714285713,1.0,1.0,0.3333333333333333,0.5763161887422242,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.06451612903225806,1,0.06451612903225806,0.6666666666666667,4,3,2,1,0.0714285714285714,0.3333333333333333,0.5,0.3333333333333333,0.2765134274010014,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
